Label,Relationship,Details
Yêu cầu 1,Có liên quan đến,Xây dựng ứng dụng NestJS microservice với RabbitMQ, TypeORM, và MySQL.
Yêu cầu 1,Có liên quan đến,Triển khai sử dụng Docker và Kubernetes.
Hướng dẫn Yêu cầu 1,Phương pháp,Tạo dự án NestJS mới, cài đặt dependencies, cấu hình kết nối RabbitMQ, MySQL và TypeORM.
Hướng dẫn Yêu cầu 1,Phương pháp,Tạo các entity và repository, cấu hình giao tiếp qua RabbitMQ.
Hướng dẫn Yêu cầu 1,Phương pháp,Tạo Dockerfile và docker-compose, triển khai trên Kubernetes.
Yêu cầu 2,Có liên quan đến,Thêm API Gateway để quản lý việc proxy các yêu cầu đến các service khác.
Hướng dẫn Yêu cầu 2,Phương pháp,API Gateway nhận yêu cầu từ client và điều phối đến microservices (Library Service, Payment Service).
Hướng dẫn Yêu cầu 2,Phương pháp,Sử dụng HttpService trong NestJS hoặc message broker (RabbitMQ) để định tuyến yêu cầu.
Yêu cầu 3,Có liên quan đến,Xử lý tình huống người dùng mượn sách phải trả phí trước.
Ví dụ Code Flow Yêu cầu 3,Mô tả,Client -> API Gateway -> Payment Service -> (Thành công) -> Library Service -> API Gateway -> Client.
Yêu cầu 4,Có liên quan đến,Kiến trúc microservice có tương đồng với hệ phân tán không.
Trả lời Yêu cầu 4,So sánh,Cả hai đều có tính phân phối và giao tiếp qua mạng, nhưng microservice chia nhỏ chức năng ứng dụng, hệ phân tán tập trung xử lý dữ liệu lớn hoặc tính toán trên nhiều nút.
Yêu cầu 5,Có liên quan đến,API Gateway có thể bị quá tải khi nhiều người dùng cùng truy cập, và cách tối ưu hóa.
Load Balancing,Phương pháp tối ưu,Cân bằng tải giữa các instance của API Gateway.
Circuit Breaker,Phương pháp tối ưu,Bảo vệ hệ thống khỏi quá tải bằng cách ngắt mạch khi service không phản hồi.
Caching,Phương pháp tối ưu,Lưu trữ tạm thời kết quả để giảm tải cho các service.
Event-driven Architecture,Phương pháp tối ưu,Xử lý các tác vụ phức tạp bất đồng bộ, giảm thời gian chờ đợi của client.
Yêu cầu 6,Có liên quan đến,Tạo file PDF tổng hợp các câu hỏi và câu trả lời.
Kết quả Yêu cầu 6,Sản phẩm,File PDF chứa câu hỏi và câu trả lời về kiến trúc microservice.
NestJS,Công nghệ,Framework Node.js
RabbitMQ,Công nghệ,Message Broker
TypeORM,Công nghệ,ORM cho TypeScipt
MySQL,Công nghệ,Cơ sở dữ liệu quan hệ
Docker,Công nghệ,Công cụ container hóa
Kubernetes,Công nghệ,Nền tảng quản lý container
API Gateway,Thành phần hệ thống,Cổng API
Library Service,Thành phần hệ thống,Service quản lý thư viện
Payment Service,Thành phần hệ thống,Service quản lý thanh toán
HttpService,Thành phần hệ thống,Service xử lý HTTP requests trong NestJS